,name,task,n_embd,train_size,seed,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
41,tdec_448embd_mix_10000_s2,mix,448,10000,2,31999,0.04554121568799019,0.2537994384765625,4.81204080581665,7.104318141937256,0.949999988079071,0.6499999761581421,0,0,1.0454220600308872e-08,6.845361326668353e-07,1.207137216852061e-07,0.0019075054442510009,0.5021822452545166,0.10405566543340684,0.07633689045906067,0.14526501297950745,1.3628441095352173,3.1036148071289062,2.564860582351685,4.448744297027588,4.86272668838501,7.551116466522217,0.7456251382827759,10.436478614807127,1,1,1,0.9900000095367432,0.009999999776482582,0.7599999904632568,0.8299999833106995,0.7699999809265137,0,0,0.05999999865889549,0,0,0,0.14000000059604645,0
42,tdec_1088embd_add_1000000_s1,add,1088,1000000,1,31999,0.0002832592581398785,0.4337242543697357,4.818735599517822,8.831287384033203,1,0.25999999046325684,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,tdec_448embd_add_10000_s2,add,448,10000,2,31999,0.8068002462387085,2.750823736190796,5.321247100830078,6.801258563995361,0.6100000143051147,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,tdec_640embd_add_100000_s3,add,640,100000,3,31999,3.826251941063674e-06,0.6394919157028198,3.5213680267333984,4.322397232055664,1,0.119999997317791,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,tdec_768embd_add_1000000_s1,add,768,1000000,1,31999,0.22091171145439148,0.5760320425033569,0.9771740436553956,1.3362764120101929,0.5799999833106995,0.019999999552965164,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,tdec_640embd_add_100000_s2,add,640,100000,2,31999,1.2724236512440257e-05,0.9272819757461548,4.970767974853516,6.7389912605285645,1,0.029999999329447743,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,tdec_896embd_mix_1000000_s1,mix,896,1000000,1,31999,6.098412086430471e-06,0.47225749492645264,3.546407699584961,5.189800262451172,1,0.18000000715255737,0,0,1.8880450980418573e-08,1.1186173765054265e-07,3.54946138259038e-07,0.00018886523321270943,0.9007958173751832,0.076221764087677,0.058650050312280655,0.010690586641430857,2.0109505653381348,3.6488099098205566,1.6785763502120972,3.021339654922486,3.4387319087982178,4.961391925811768,4.001227378845215,11.199345588684082,1,1,1,1,0,0.699999988079071,0.7400000095367432,0.959999978542328,0,0,0.019999999552965164,0,0,0,0,0
48,tdec_1472embd_mix_10000000_s1,mix,1472,10000000,1,31999,4.6953641685831826e-07,0.1483876407146454,5.168133735656738,7.657550811767578,1,0.6800000071525574,0,0,1.8759854469863058e-07,2.0408187140219525e-08,6.78668499176638e-08,9.57280548163908e-08,0.07073365151882172,0.3457925021648407,0.8178402185440063,0.0008447471191175282,2.3254337310791016,3.2030184268951416,3.7972779273986816,6.6656718254089355,4.898954391479492,7.919443130493164,4.8624091148376465,13.668805122375488,1,1,1,1,0.36000001430511475,0.5299999713897705,0.09000000357627869,0.9900000095367432,0,0,0.029999999329447743,0,0,0,0,0
49,tdec_1344embd_mix_10000000_s1,mix,1344,10000000,1,31999,4.04041344381767e-07,0.5866056680679321,6.479047775268555,8.563985824584961,1,0.30000001192092896,0,0,2.4539608123319567e-09,2.2456044135310552e-08,1.5577369083530357e-07,2.9197715889495157e-07,0.07183242589235306,0.4242583215236664,0.25235164165496826,0.7640028595924377,2.2790749073028564,4.097185134887695,3.181581974029541,4.781815052032471,6.7063140869140625,8.809947967529297,9.248333930969238,11.805192947387695,1,1,1,1,0.3400000035762787,0.4300000071525574,0.5899999737739563,0.09000000357627869,0,0,0,0,0,0,0,0
50,tdec_576embd_mix_10000000_s1,mix,576,10000000,1,31999,0.0048940847627818584,0.03130079060792923,5.388239860534668,7.752256870269775,0.9900000095367432,0.9300000071525574,0,0,3.536440473794755e-08,5.6426799233122444e-08,7.164042870044797e-08,3.550761107362632e-07,0.6771237850189209,0.01229995023459196,0.018986951559782028,0.03901583328843117,2.2631895542144775,4.175059795379639,3.212397575378418,5.532961845397949,5.93693733215332,8.575732231140137,6.6306538581848145,12.76395034790039,1,1,1,1,0,0.9399999976158142,0.9200000166893004,0.8299999833106995,0,0,0.029999999329447743,0,0,0,0,0
