,name,task,n_embd,train_size,seed,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
119,tdec_384embd_mix_100000_s1,mix,384,100000,1,31999,2.1915540855843577e-05,4.844456498176442e-07,2.183204969696817e-06,1.5448284102603793e-05,3.702506728586741e-05,0.311273992061615,0.032609611749649,0.3876664042472839,0.2221809178590774,2.2244645151658915e-05,3.0598416328430176,4.621894359588623,1.1915152072906494,2.714656352996826,1.607377290725708,2.9932870864868164,2.956031084060669,4.4889607429504395,0.8757935166358948,8.473820686340332,1.0,1.0,1.0,1.0,1.0,0.1800000071525573,0.5099999904632568,0.2300000041723251,0.3100000023841858,1.0,0.0,0.0,0.0,0.0,0.0599999986588954,0.0,0.0,0.0,0.0099999997764825,0.0
120,tdec_512embd_add_10000_s1,add,512,10000,1,31999,2.067645788192749,,,,,3.760978937149048,,,,,5.013972282409668,5.840913772583008,,,,,,,,,0.3300000131130218,,,,,0.0,,,,,0.0,0.0,,,,,,,,
121,tdec_832embd_mix_1000000_s1,mix,832,1000000,1,31999,1.3256721103971358e-05,3.574298261810327e-07,3.867887414799043e-07,2.1046791971457424e-06,1.32063928504067e-06,0.3972963094711303,1.7607438564300537,0.3338252305984497,0.8491805791854858,0.7243083715438843,4.729119300842285,6.0624566078186035,2.401057243347168,3.56200647354126,2.3218560218811035,3.4621474742889404,5.047161102294922,6.3992767333984375,5.509832382202148,9.650859832763672,1.0,1.0,1.0,1.0,1.0,0.3799999952316284,0.0,0.5099999904632568,0.209999993443489,0.0399999991059303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,tdec_384embd_add_100000_s1,add,384,100000,1,31999,1.4216668660083087e-06,,,,,0.0015410542255267,,,,,2.509739637374878,3.173574447631836,,,,,,,,,1.0,,,,,1.0,,,,,0.0,0.0,,,,,,,,
123,tdec_640embd_add_10000000_s1,add,640,10000000,1,31999,0.0020673822145909,,,,,0.7417321801185608,,,,,5.106692314147949,6.544126510620117,,,,,,,,,1.0,,,,,0.0199999995529651,,,,,0.0,0.0,,,,,,,,
124,tdec_1024embd_add_1000000_s1,add,1024,1000000,1,32004,0.0002890876494348,,,,,0.9978188276290894,,,,,4.982620716094971,6.41660213470459,,,,,,,,,1.0,,,,,0.1599999964237213,,,,,0.0,0.0,,,,,,,,
125,tdec_1216embd_mix_10000000_s1,mix,1216,10000000,1,31999,0.0021266893018037,1.090383648261195e-05,6.0403185671020765e-06,2.309928822796792e-05,1.9996343326056376e-05,0.1149515882134437,0.1235989481210708,0.0375830046832561,0.0773379206657409,0.811698853969574,4.349438667297363,6.22793436050415,2.4581165313720703,4.121137619018555,2.063113212585449,3.3579938411712646,4.482188701629639,6.548956394195557,4.7532877922058105,6.624574184417725,0.9900000095367432,1.0,1.0,1.0,1.0,0.5299999713897705,0.1299999952316284,0.8299999833106995,0.7900000214576721,0.0199999995529651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,tdec_448embd_mix_10000000_s1,mix,448,10000000,1,31999,6.393325293174712e-06,1.0906929048815073e-07,1.1933542509723338e-07,3.724317593878368e-06,1.5839193565625465e-06,1.127172827720642,0.0165333002805709,0.6095550060272217,1.1936074495315552,0.0071818293072283,3.1580121517181396,3.825837612152099,1.376589059829712,2.290343999862671,1.873489260673523,2.904891014099121,3.139441728591919,3.4848196506500244,1.336602807044983,8.439730644226074,1.0,1.0,1.0,1.0,1.0,0.0,0.7099999785423279,0.1899999976158142,0.0099999997764825,0.9700000286102296,0.0,0.0,0.0,0.0,0.0399999991059303,0.0,0.0,0.0,0.0099999997764825,0.0
127,tdec_320embd_mix_10000000_s1,mix,320,10000000,1,31999,4.806015112990281e-06,7.0673927154985e-08,2.2210920747056667e-07,5.780788114861934e-07,1.279755451832898e-05,0.0123640345409512,0.0003791546914726,0.0001015698508126,0.0003524273342918,2.478344686096534e-05,2.3293569087982178,3.855634212493897,1.412462592124939,2.874743938446045,1.562122821807861,2.7854526042938232,2.627819776535034,4.7087082862854,2.597846746444702,7.595203876495361,1.0,1.0,1.0,1.0,1.0,0.8700000047683716,0.9800000190734864,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1500000059604644,0.0,0.0,0.0,0.0,0.0
128,tdec_192embd_mix_10000000_s1,mix,192,10000000,1,31999,0.0006101102335378,6.328195212290666e-08,1.63170102496224e-06,9.8290956884739e-07,2.951652504634694e-06,4.589790114550851e-05,1.0926256521770485e-07,2.6785116915561957e-06,2.2032227207091637e-06,1.321213517258002e-06,2.4637441635131836,4.403081893920898,0.9081421494483948,2.6849255561828613,1.7551268339157104,2.8468706607818604,2.410867214202881,4.70003080368042,0.052206739783287,4.912881374359131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1199999973177909,0.0,0.0,0.0,0.6100000143051147,0.0
