,name,task,n_embd,train_size,seed,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
tdec_576embd_add_1000000_s1,tdec_576embd_add_1000000_s1,add,576,1000000,1,31999,0.0008391112205572426,,,,,1.0596568584442139,,,,,5.535039901733398,7.788234710693359,,,,,,,,,1.0,,,,,0.09000000357627869,,,,,0,0,,,,,,,,
tdec_896embd_mix_100000_s1,tdec_896embd_mix_100000_s1,mix,896,100000,1,31999,0.01959853619337082,2.08289545611251e-08,1.8031063575563167e-07,1.6234079112109612e-06,5.369076916394988e-07,0.10336105525493622,1.169013261795044,0.012662024237215519,0.02820472978055477,0.039126817137002945,4.104290962219238,5.5545735359191895,2.6393606662750244,4.743068695068359,2.4582173824310303,3.657613515853882,4.600225925445557,6.281240463256836,2.813052177429199,9.869376182556152,0.9599999785423279,1,1.0,1.0,1.0,0.6399999856948853,0.0,0.8999999761581421,0.9200000166893005,0.8399999737739563,0,0,0,0,0.0,0,0,0,0.0,0
tdec_1088embd_add_100000_s1,tdec_1088embd_add_100000_s1,add,1088,100000,1,30042,1.1680257330226596e-06,,,,,2.3099472522735596,,,,,6.181310653686523,8.87333869934082,,,,,,,,,1.0,,,,,0.05000000074505806,,,,,0,0,,,,,,,,
tdec_256embd_mix_10000_s1,tdec_256embd_mix_10000_s1,mix,256,10000,1,31999,0.003068295307457447,2.1756612511580897e-08,4.206047492516518e-07,1.5211455206554092e-07,1.0311780442862073e-06,0.03399883583188057,2.529086771119182e-07,7.608819032611791e-07,4.2411807044118177e-07,0.00010151266178581864,2.7618608474731445,5.68203067779541,1.3323488235473633,2.898315191268921,1.6990785598754883,3.4231984615325928,2.8281943798065186,6.074829578399658,0.021475184708833694,4.84975004196167,0.9800000190734863,1.0,1.0,1.0,1.0,0.9599999785423279,1.0,1.0,1.0,1.0,0.0,0,0.0,0,0.12999999523162842,0.0,0.0,0,0.8700000047683716,0.0
tdec_64embd_mix_10000000_s3,tdec_64embd_mix_10000000_s3,mix,64,10000000,3,31999,1.575087070465088,6.375289103743853e-06,0.0044541386887431145,1.6825751066207886,7.296816329471767e-05,1.790175199508667,1.5146048099268228e-05,0.0065107219852507114,1.8787591457366943,0.0001235256204381585,1.8855913877487183,1.9340072870254517,4.227111639920622e-05,0.0019978422205895185,0.028400659561157227,0.07160366326570511,1.9708095788955688,2.0059244632720947,0.0003883379395119846,0.007038789801299572,0,1.0,0.9599999785423279,0,1.0,0,1.0,0.9800000190734863,0,1.0,0,0,0.9900000095367432,0.8700000047683716,0.7699999809265137,0.4000000059604645,0,0,1.0,0.8500000238418579
tdec_64embd_add_10000000_s3,tdec_64embd_add_10000000_s3,add,64,10000000,3,31999,1.2092533111572266,,,,,1.5166640281677246,,,,,1.6537586450576782,1.7183459997177124,,,,,,,,,0.0,,,,,0,,,,,0,0,,,,,,,,
tdec_64embd_mix_10000_s1,tdec_64embd_mix_10000_s1,mix,64,10000,1,31999,1.5950027704238892,6.0465790738817304e-06,0.012196424417197704,1.9196659326553345,9.350299660582095e-05,1.8240286111831665,1.2281488125154283e-05,0.01871497556567192,2.050652265548706,0.00029908595024608076,1.9140031337738037,1.966079831123352,3.903197648469359e-05,0.0009377075475640595,0.05957696959376335,0.12928467988967896,2.095294713973999,2.1101160049438477,0.0009662689990364015,0.012535874731838703,0,1.0,0.8500000238418579,0,1.0,0,1.0,0.8700000047683716,0,1.0,0,0,1.0,0.949999988079071,0.5899999737739563,0.2800000011920929,0,0,1.0,0.8199999928474426
tdec_256embd_mix_100000_s3,tdec_256embd_mix_100000_s3,mix,256,100000,3,7999,0.035281069576740265,2.3147169940784806e-06,0.0003833019291050732,0.00043511646799743176,9.934781701304018e-05,0.04890090972185135,1.011255426419666e-05,0.0006451269728131592,0.0010049286065623164,0.000314720266032964,0.6752569079399109,2.325737714767456,0.420482337474823,1.5011074542999268,0.11080694943666458,0.8795129656791687,0.5180572271347046,2.255103826522827,0.014874604530632496,2.5350775718688965,0.8199999928474426,1,1.0,0.9900000095367432,1,0.6899999976158142,1,1.0,0.9900000095367432,1,0.03999999910593033,0,0.0,0,0.4399999976158142,0.03999999910593033,0.03999999910593033,0,0.8799999952316284,0.0
tdec_1472embd_mix_1000000_s1,tdec_1472embd_mix_1000000_s1,mix,1472,1000000,1,31001,9.550690265314188e-07,1.731371046531649e-09,1.3245469165923396e-09,4.4594024473099125e-08,3.4540065030341793e-08,1.0349557399749756,0.00985695980489254,0.7212916016578674,0.7329622507095337,0.0028000441379845142,7.514782905578613,10.682838439941406,3.142948627471924,5.604637622833252,3.7607128620147705,6.214110851287842,6.373795032501221,9.188665390014648,5.418496608734131,15.793420791625977,1.0,1.0,1.0,1.0,1.0,0.03999999910593033,0.8500000238418579,0.20000000298023224,0.019999999552965164,0.9800000190734863,0,0,0,0,0.0,0.0,0,0,0.0,0
tdec_704embd_mix_10000000_s1,tdec_704embd_mix_10000000_s1,mix,704,10000000,1,31999,5.016123623136082e-07,2.4823659572348333e-08,6.059004249436839e-07,1.30972608758384e-07,8.399103279543851e-08,0.3339713215827942,0.7132758498191833,0.05375506356358528,0.33363115787506104,0.2989417314529419,4.435614585876465,5.577033519744873,1.707358717918396,2.8569447994232178,2.311314105987549,3.676880121231079,4.192852020263672,5.415637969970703,7.714377403259277,11.263906478881836,1.0,1,1.0,1.0,1.0,0.27000001072883606,0,0.75,0.2199999988079071,0.3700000047683716,0.0,0,0,0,0.0,0,0,0,0.0,0
tdec_64embd_mix_1000000_s3,tdec_64embd_mix_1000000_s3,mix,64,1000000,3,31999,0.4991167485713959,1.6841260730871e-05,0.019583379849791527,0.13149988651275635,6.905992631800473e-05,0.5882194638252258,2.9169685149099678e-05,0.02888007089495659,0.19607633352279663,0.00015532046381849796,0.7245237231254578,0.8670493364334106,0.00024735002079978585,0.03201093524694443,0.0462627075612545,0.07082461565732956,0.3547114133834839,0.5940036177635193,0.0006831237697042525,0.008760087192058563,0.05999999865889549,1.0,0.8700000047683716,0.49000000953674316,1.0,0.0,1.0,0.8199999928474426,0.15000000596046448,1.0,0,0,0.9800000190734863,0.28999999165534973,0.7400000095367432,0.4000000059604645,0.019999999552965164,0,0.9800000190734863,0.800000011920929
tdec_576embd_mix_100000_s1,tdec_576embd_mix_100000_s1,mix,576,100000,1,27999,6.875400799799536e-07,9.108257614798276e-08,2.0505829922967678e-08,2.066783366672098e-07,8.212344982894138e-05,0.4778466522693634,1.3570256233215332,0.4315614700317383,0.24216018617153168,0.004736620932817459,3.7077741622924805,4.88653039932251,1.7395100593566895,2.5318515300750732,2.2902719974517822,3.905393123626709,4.303403377532959,5.968466281890869,0.9395029544830322,11.907061576843262,1.0,1,1.0,1.0,1.0,0.10999999940395355,0.0,0.1599999964237213,0.3100000023841858,0.9700000286102295,0.0,0,0,0,0.029999999329447746,0.0,0.0,0,0.0,0
tdec_64embd_add_1000000_s3,tdec_64embd_add_1000000_s3,add,64,1000000,3,31999,0.8937086462974548,,,,,1.2803665399551392,,,,,1.4513146877288818,1.5313873291015625,,,,,,,,,0.10000000149011612,,,,,0,,,,,0,0,,,,,,,,
tdec_256embd_add_100000_s3,tdec_256embd_add_100000_s3,add,256,100000,3,31999,0.11958248168230057,,,,,0.2804264724254608,,,,,0.6603986620903015,1.002611517906189,,,,,,,,,0.7599999904632568,,,,,0.07999999821186066,,,,,0,0,,,,,,,,
tdec_1344embd_mix_100000_s1,tdec_1344embd_mix_100000_s1,mix,1344,100000,1,29999,9.211278779730492e-07,8.439490883915823e-09,8.135205575854343e-08,2.608951490401523e-07,6.372776510943368e-07,1.5428203344345093,0.07079901546239853,0.7484439611434937,1.0956610441207886,0.25399139523506165,6.9676923751831055,10.044975280761719,1.9642659425735474,4.052150249481201,2.757427930831909,4.757154941558838,6.125402450561523,9.489906311035156,4.154121398925781,8.81852912902832,1.0,1.0,1.0,1.0,1.0,0.019999999552965164,0.36000001430511475,0.3400000035762787,0.029999999329447746,0.41999998688697815,0,0,0,0,0.019999999552965164,0.0,0.0,0,0.0,0.0
tdec_64embd_mix_100000_s3,tdec_64embd_mix_100000_s3,mix,64,100000,3,31999,0.43912413716316223,1.2773451089742593e-05,0.003967972006648779,0.008410575799643993,8.47771079861559e-05,0.5602412223815918,2.721096643654164e-05,0.006669739261269569,0.012842681258916855,0.0002140579599654302,0.7079371809959412,0.9139411449432373,7.688222831347957e-05,0.013842860236763954,0.022353319451212883,0.07523182034492493,0.0733262449502945,0.33868303894996643,0.0007997353095561266,0.27135008573532104,0.12999999523162842,1.0,0.9700000286102295,0.9599999785423279,1.0,0.029999999329447746,1.0,0.949999988079071,0.8199999928474426,0.9900000095367432,0,0,0.9900000095367432,0.6600000262260437,0.7799999713897705,0.4300000071525574,0.5400000214576721,0,0.9700000286102295,0.05999999865889549
tdec_64embd_add_100000_s3,tdec_64embd_add_100000_s3,add,64,100000,3,31999,0.8192612528800964,,,,,1.2737221717834473,,,,,1.4538490772247314,1.5334736108779907,,,,,,,,,0.15000000596046448,,,,,0,,,,,0,0,,,,,,,,
tdec_256embd_mix_10000_s3,tdec_256embd_mix_10000_s3,mix,256,10000,3,31999,0.027439702302217484,9.137953504989582e-09,7.540443789366691e-07,1.8478573338143178e-06,2.9311838716239436e-06,0.04467703402042389,1.6160176130597392e-07,2.3541961127193645e-06,3.003832171089016e-05,1.6058773326221853e-05,2.7061655521392822,4.823517322540283,1.4857767820358276,2.6247048377990723,2.0651438236236572,3.565077543258667,2.974668502807617,5.337092876434326,0.034577131271362305,4.075380325317383,0.9200000166893005,1.0,1.0,1.0,1.0,0.8799999952316284,1.0,1.0,0.9900000095367432,1.0,0.0,0,0.0,0,0.11999999731779099,0.0,0.0,0,0.8299999833106995,0.0
